SGB_id type
SGB_1036 uSGB
SGB_1037 uSGB
SGB_1038 uSGB
SGB_1039 uSGB
SGB_1040 uSGB
SGB_1041 uSGB
SGB_1042 uSGB
SGB_1043 uSGB
SGB_1044 uSGB
SGB_1045 uSGB
SGB_1046 uSGB
SGB_1047 uSGB
SGB_1048 uSGB
SGB_1049 uSGB
SGB_1050 uSGB
SGB_1051 uSGB
SGB_1052 uSGB
SGB_1053 uSGB
SGB_1054 uSGB
SGB_1055 uSGB
SGB_1056 uSGB
SGB_1057 uSGB
SGB_1058 uSGB
SGB_1059 uSGB
SGB_1060 uSGB
SGB_1061 uSGB
SGB_1062 uSGB
SGB_1063 uSGB
SGB_1064 uSGB
SGB_1065 uSGB
SGB_1066 uSGB
SGB_1067 uSGB
SGB_1068 uSGB
SGB_1069 uSGB
SGB_1070 uSGB
SGB_1071 uSGB
SGB_1072 uSGB
SGB_1073 uSGB
SGB_1074 uSGB
SGB_1075 uSGB
SGB_1076 uSGB
SGB_1077 uSGB
SGB_1078 uSGB
SGB_1079 uSGB
SGB_1080 uSGB
SGB_1081 uSGB
SGB_1082 uSGB
SGB_1083 uSGB
SGB_1084 uSGB
SGB_1085 uSGB
SGB_1086 uSGB
SGB_1087 uSGB
SGB_1088 uSGB
SGB_1089 uSGB
SGB_1090 uSGB
SGB_1091 uSGB
SGB_1092 uSGB
SGB_1093 uSGB
SGB_1094 uSGB
SGB_1095 uSGB
SGB_1096 uSGB
SGB_1097 uSGB
SGB_1098 uSGB
SGB_1099 uSGB
SGB_1100 uSGB
SGB_1101 uSGB
SGB_1102 uSGB
SGB_1103 uSGB
SGB_1104 uSGB
SGB_1105 uSGB
SGB_1106 uSGB
SGB_1107 uSGB
SGB_1108 uSGB
SGB_1109 uSGB
SGB_1110 uSGB
SGB_1111 uSGB
SGB_1112 uSGB
SGB_1113 uSGB
SGB_1114 uSGB
SGB_1115 uSGB
SGB_1116 uSGB
SGB_1117 uSGB
SGB_1118 uSGB
SGB_1119 uSGB
SGB_1120 uSGB
SGB_1121 uSGB
SGB_1122 uSGB
SGB_1123 uSGB
SGB_1124 uSGB
SGB_1125 uSGB
SGB_1126 uSGB
SGB_1127 uSGB
SGB_1128 uSGB
SGB_1129 uSGB
SGB_1130 uSGB
SGB_1131 uSGB
SGB_1132 uSGB
SGB_1133 uSGB
SGB_1134 uSGB
SGB_1135 uSGB
SGB_1136 uSGB
SGB_1137 uSGB
SGB_1138 uSGB
SGB_1139 uSGB
SGB_1140 uSGB
SGB_1141 uSGB
SGB_1142 uSGB
SGB_1143 uSGB
SGB_1144 uSGB
SGB_1145 uSGB
SGB_1146 uSGB
SGB_1147 uSGB
SGB_1148 uSGB
SGB_1149 uSGB
SGB_1150 uSGB
SGB_1151 uSGB
SGB_1152 uSGB
SGB_1153 uSGB
SGB_1154 uSGB
SGB_1155 uSGB
SGB_1156 uSGB
SGB_1157 uSGB
SGB_1158 uSGB
SGB_1159 uSGB
SGB_1160 uSGB
SGB_1161 uSGB
SGB_1162 uSGB
SGB_1163 uSGB
SGB_1164 uSGB
SGB_1165 uSGB
SGB_1166 uSGB
SGB_1167 uSGB
SGB_1168 uSGB
SGB_1169 uSGB
SGB_1170 uSGB
SGB_1171 uSGB
SGB_1172 uSGB
SGB_1173 uSGB
SGB_1174 uSGB
SGB_1175 uSGB
SGB_1176 uSGB
SGB_1177 uSGB
SGB_1178 uSGB
SGB_1179 uSGB
SGB_1180 uSGB
SGB_1181 uSGB
SGB_1182 uSGB
SGB_1183 uSGB
SGB_1184 uSGB
SGB_1185 uSGB
SGB_1186 uSGB
SGB_1187 uSGB
SGB_1188 uSGB
SGB_1189 uSGB
SGB_1190 uSGB
SGB_1191 uSGB
SGB_1192 uSGB
SGB_1193 uSGB
SGB_1194 uSGB
SGB_1195 uSGB
SGB_1196 uSGB
SGB_1197 uSGB
SGB_1198 uSGB
SGB_1199 uSGB
SGB_1200 uSGB
SGB_1201 uSGB
SGB_1202 uSGB
SGB_1203 uSGB
SGB_1204 uSGB
SGB_1205 uSGB
SGB_1206 uSGB
SGB_1207 uSGB
SGB_1208 uSGB
SGB_1209 uSGB
SGB_1210 uSGB
SGB_1211 uSGB
SGB_1212 uSGB
SGB_1213 uSGB
SGB_1214 uSGB
SGB_1215 uSGB
SGB_1216 uSGB
SGB_1217 uSGB
SGB_1218 uSGB
SGB_1219 uSGB
SGB_1220 uSGB
SGB_1221 uSGB
SGB_1222 uSGB
SGB_1223 uSGB
SGB_1224 uSGB
SGB_1225 uSGB
SGB_1226 uSGB
SGB_1227 uSGB
SGB_1228 uSGB
SGB_1229 uSGB
SGB_1230 uSGB
SGB_1231 uSGB
SGB_1232 uSGB
SGB_1233 uSGB
SGB_1234 uSGB
SGB_1235 uSGB
SGB_1236 uSGB
SGB_1237 uSGB
SGB_1238 uSGB
SGB_1239 uSGB
SGB_1240 uSGB
SGB_1241 uSGB
SGB_1242 uSGB
SGB_1243 uSGB
SGB_1244 uSGB
SGB_1245 uSGB
SGB_1246 uSGB
