sample_id	COG_id	gene_num
RDPYD18300297_A_saliva.metaspades.bin.2	I	14
RDPYD18300297_A_saliva.metaspades.bin.2	D	12
RDPYD18300297_A_saliva.metaspades.bin.2	G	15
RDPYD18300297_A_saliva.metaspades.bin.2	U	10
RDPYD18300297_A_saliva.metaspades.bin.2	Z	1
RDPYD18300297_A_saliva.metaspades.bin.2	nohit	140
RSZYD18078116_A_saliva.metaspades.bin.38	I	14
RSZYD18078116_A_saliva.metaspades.bin.38	P	27
RSZYD18078116_A_saliva.metaspades.bin.38	J	130
RSZYD18078116_A_saliva.metaspades.bin.38	V	12
RSZYD18078116_A_saliva.metaspades.bin.38	L	67
RSZYD18078116_A_saliva.metaspades.bin.38	F	24
RSZYD18078116_A_saliva.metaspades.bin.38	S	69
RSZYD18078116_A_saliva.metaspades.bin.38	E	19
RSZYD18078116_A_saliva.metaspades.bin.38	O	19
RSZYD18078116_A_saliva.metaspades.bin.38	D	11
RSZYD18078116_A_saliva.metaspades.bin.38	M	9
RSZYD18078116_A_saliva.metaspades.bin.38	H	17
RSZYD18078116_A_saliva.metaspades.bin.38	C	14
RSZYD18078116_A_saliva.metaspades.bin.38	Q	6
RSZYD18078116_A_saliva.metaspades.bin.38	G	15
RSZYD18078116_A_saliva.metaspades.bin.38	T	6
RSZYD18078116_A_saliva.metaspades.bin.38	K	23
RSZYD18078116_A_saliva.metaspades.bin.38	U	7
RSZYD18078116_A_saliva.metaspades.bin.38	N	6
RSZYD18078116_A_saliva.metaspades.bin.38	Z	2
RSZYD18078116_A_saliva.metaspades.bin.38	nohit	116
RSZYD18078546_A_saliva.metaspades.bin.49	O	20
RSZYD18078546_A_saliva.metaspades.bin.49	J	126
RSZYD18078546_A_saliva.metaspades.bin.49	H	19
RSZYD18078546_A_saliva.metaspades.bin.49	L	62
RSZYD18078546_A_saliva.metaspades.bin.49	F	25
RSZYD18078546_A_saliva.metaspades.bin.49	V	10
RSZYD18078546_A_saliva.metaspades.bin.49	M	9
RSZYD18078546_A_saliva.metaspades.bin.49	C	15
RSZYD18078546_A_saliva.metaspades.bin.49	S	70
RSZYD18078546_A_saliva.metaspades.bin.49	E	18
RSZYD18078546_A_saliva.metaspades.bin.49	I	14
RSZYD18078546_A_saliva.metaspades.bin.49	P	31
RSZYD18078546_A_saliva.metaspades.bin.49	U	8
RSZYD18078546_A_saliva.metaspades.bin.49	Q	6
RSZYD18078546_A_saliva.metaspades.bin.49	K	22
RSZYD18078546_A_saliva.metaspades.bin.49	G	14
RSZYD18078546_A_saliva.metaspades.bin.49	D	12
RSZYD18078546_A_saliva.metaspades.bin.49	N	4
RSZYD18078546_A_saliva.metaspades.bin.49	T	6
RSZYD18078546_A_saliva.metaspades.bin.49	Z	1
RSZYD18078546_A_saliva.metaspades.bin.49	nohit	114
RSZYD18078688_A_saliva.metaspades.bin.48	D	12
RSZYD18078688_A_saliva.metaspades.bin.48	L	60
RSZYD18078688_A_saliva.metaspades.bin.48	J	130
RSZYD18078688_A_saliva.metaspades.bin.48	F	24
RSZYD18078688_A_saliva.metaspades.bin.48	P	33
RSZYD18078688_A_saliva.metaspades.bin.48	E	19
RSZYD18078688_A_saliva.metaspades.bin.48	O	16
RSZYD18078688_A_saliva.metaspades.bin.48	C	15
RSZYD18078688_A_saliva.metaspades.bin.48	U	7
RSZYD18078688_A_saliva.metaspades.bin.48	V	14
RSZYD18078688_A_saliva.metaspades.bin.48	K	26
RSZYD18078688_A_saliva.metaspades.bin.48	N	4
RSZYD18078688_A_saliva.metaspades.bin.48	S	76
RSZYD18078688_A_saliva.metaspades.bin.48	Q	6
RSZYD18078688_A_saliva.metaspades.bin.48	H	20
RSZYD18078688_A_saliva.metaspades.bin.48	G	14
RSZYD18078688_A_saliva.metaspades.bin.48	M	7
RSZYD18078688_A_saliva.metaspades.bin.48	I	14
RSZYD18078688_A_saliva.metaspades.bin.48	T	6
RSZYD18078688_A_saliva.metaspades.bin.48	nohit	114
RSZYD18187966_A_saliva.metaspades.bin.2	S	72
RSZYD18187966_A_saliva.metaspades.bin.2	T	6
RSZYD18187966_A_saliva.metaspades.bin.2	H	18
RSZYD18187966_A_saliva.metaspades.bin.2	P	29
RSZYD18187966_A_saliva.metaspades.bin.2	O	17
RSZYD18187966_A_saliva.metaspades.bin.2	J	130
RSZYD18187966_A_saliva.metaspades.bin.2	G	16
RSZYD18187966_A_saliva.metaspades.bin.2	F	25
RSZYD18187966_A_saliva.metaspades.bin.2	C	14
RSZYD18187966_A_saliva.metaspades.bin.2	K	22
RSZYD18187966_A_saliva.metaspades.bin.2	L	58
RSZYD18187966_A_saliva.metaspades.bin.2	M	7
RSZYD18187966_A_saliva.metaspades.bin.2	Q	6
RSZYD18187966_A_saliva.metaspades.bin.2	I	15
RSZYD18187966_A_saliva.metaspades.bin.2	E	21
RSZYD18187966_A_saliva.metaspades.bin.2	U	8
RSZYD18187966_A_saliva.metaspades.bin.2	V	10
RSZYD18187966_A_saliva.metaspades.bin.2	D	12
RSZYD18187966_A_saliva.metaspades.bin.2	N	6
RSZYD18187966_A_saliva.metaspades.bin.2	Z	1
RSZYD18187966_A_saliva.metaspades.bin.2	nohit	122
RSZYD18078717_A_saliva.metaspades.bin.35	S	71
RSZYD18078717_A_saliva.metaspades.bin.35	K	23
RSZYD18078717_A_saliva.metaspades.bin.35	E	19
RSZYD18078717_A_saliva.metaspades.bin.35	L	56
RSZYD18078717_A_saliva.metaspades.bin.35	D	12
RSZYD18078717_A_saliva.metaspades.bin.35	M	11
RSZYD18078717_A_saliva.metaspades.bin.35	V	12
RSZYD18078717_A_saliva.metaspades.bin.35	O	17
RSZYD18078717_A_saliva.metaspades.bin.35	J	131
RSZYD18078717_A_saliva.metaspades.bin.35	I	14
RSZYD18078717_A_saliva.metaspades.bin.35	F	24
RSZYD18078717_A_saliva.metaspades.bin.35	P	30
RSZYD18078717_A_saliva.metaspades.bin.35	Q	6
RSZYD18078717_A_saliva.metaspades.bin.35	H	18
RSZYD18078717_A_saliva.metaspades.bin.35	C	14
RSZYD18078717_A_saliva.metaspades.bin.35	U	8
RSZYD18078717_A_saliva.metaspades.bin.35	G	15
RSZYD18078717_A_saliva.metaspades.bin.35	T	6
RSZYD18078717_A_saliva.metaspades.bin.35	N	2
RSZYD18078717_A_saliva.metaspades.bin.35	nohit	113
RDPYD18300309_A_saliva.metaspades.bin.81	J	128
RDPYD18300309_A_saliva.metaspades.bin.81	M	9
RDPYD18300309_A_saliva.metaspades.bin.81	L	62
RDPYD18300309_A_saliva.metaspades.bin.81	G	15
RDPYD18300309_A_saliva.metaspades.bin.81	E	20
RDPYD18300309_A_saliva.metaspades.bin.81	I	13
RDPYD18300309_A_saliva.metaspades.bin.81	P	32
RDPYD18300309_A_saliva.metaspades.bin.81	O	21
RDPYD18300309_A_saliva.metaspades.bin.81	V	12
RDPYD18300309_A_saliva.metaspades.bin.81	D	12
RDPYD18300309_A_saliva.metaspades.bin.81	F	25
RDPYD18300309_A_saliva.metaspades.bin.81	S	73
RDPYD18300309_A_saliva.metaspades.bin.81	Q	6
RDPYD18300309_A_saliva.metaspades.bin.81	N	3
RDPYD18300309_A_saliva.metaspades.bin.81	H	18
RDPYD18300309_A_saliva.metaspades.bin.81	C	15
RDPYD18300309_A_saliva.metaspades.bin.81	U	8
RDPYD18300309_A_saliva.metaspades.bin.81	T	6
RDPYD18300309_A_saliva.metaspades.bin.81	K	23
RDPYD18300309_A_saliva.metaspades.bin.81	Z	2
RDPYD18300309_A_saliva.metaspades.bin.81	nohit	128
RSZYD18078345_A_saliva.metaspades.bin.6	L	61
RSZYD18078345_A_saliva.metaspades.bin.6	J	131
RSZYD18078345_A_saliva.metaspades.bin.6	T	6
RSZYD18078345_A_saliva.metaspades.bin.6	P	31
RSZYD18078345_A_saliva.metaspades.bin.6	K	21
RSZYD18078345_A_saliva.metaspades.bin.6	O	19
RSZYD18078345_A_saliva.metaspades.bin.6	S	71
RSZYD18078345_A_saliva.metaspades.bin.6	H	17
RSZYD18078345_A_saliva.metaspades.bin.6	E	19
RSZYD18078345_A_saliva.metaspades.bin.6	N	5
RSZYD18078345_A_saliva.metaspades.bin.6	G	14
RSZYD18078345_A_saliva.metaspades.bin.6	F	26
RSZYD18078345_A_saliva.metaspades.bin.6	V	13
RSZYD18078345_A_saliva.metaspades.bin.6	U	8
RSZYD18078345_A_saliva.metaspades.bin.6	D	11
RSZYD18078345_A_saliva.metaspades.bin.6	Q	6
RSZYD18078345_A_saliva.metaspades.bin.6	M	9
RSZYD18078345_A_saliva.metaspades.bin.6	C	15
RSZYD18078345_A_saliva.metaspades.bin.6	I	14
RSZYD18078345_A_saliva.metaspades.bin.6	nohit	117
RSZYD18078130_A_saliva.metaspades.bin.15	L	63
RSZYD18078130_A_saliva.metaspades.bin.15	N	6
RSZYD18078130_A_saliva.metaspades.bin.15	F	26
RSZYD18078130_A_saliva.metaspades.bin.15	D	12
RSZYD18078130_A_saliva.metaspades.bin.15	O	17
RSZYD18078130_A_saliva.metaspades.bin.15	J	133
RSZYD18078130_A_saliva.metaspades.bin.15	H	19
RSZYD18078130_A_saliva.metaspades.bin.15	K	22
RSZYD18078130_A_saliva.metaspades.bin.15	E	20
RSZYD18078130_A_saliva.metaspades.bin.15	S	73
RSZYD18078130_A_saliva.metaspades.bin.15	M	11
RSZYD18078130_A_saliva.metaspades.bin.15	C	14
RSZYD18078130_A_saliva.metaspades.bin.15	G	15
RSZYD18078130_A_saliva.metaspades.bin.15	P	30
RSZYD18078130_A_saliva.metaspades.bin.15	U	8
RSZYD18078130_A_saliva.metaspades.bin.15	I	14
RSZYD18078130_A_saliva.metaspades.bin.15	T	6
RSZYD18078130_A_saliva.metaspades.bin.15	V	12
RSZYD18078130_A_saliva.metaspades.bin.15	Q	6
RSZYD18078130_A_saliva.metaspades.bin.15	nohit	115
RSZYD18187206_A_saliva.metaspades.bin.15	S	69
RSZYD18187206_A_saliva.metaspades.bin.15	T	7
RSZYD18187206_A_saliva.metaspades.bin.15	G	15
RSZYD18187206_A_saliva.metaspades.bin.15	I	14
RSZYD18187206_A_saliva.metaspades.bin.15	P	31
RSZYD18187206_A_saliva.metaspades.bin.15	L	60
RSZYD18187206_A_saliva.metaspades.bin.15	K	25
RSZYD18187206_A_saliva.metaspades.bin.15	J	130
RSZYD18187206_A_saliva.metaspades.bin.15	O	21
RSZYD18187206_A_saliva.metaspades.bin.15	Z	1
RSZYD18187206_A_saliva.metaspades.bin.15	N	3
RSZYD18187206_A_saliva.metaspades.bin.15	E	22
RSZYD18187206_A_saliva.metaspades.bin.15	F	24
RSZYD18187206_A_saliva.metaspades.bin.15	U	8
RSZYD18187206_A_saliva.metaspades.bin.15	M	11
RSZYD18187206_A_saliva.metaspades.bin.15	V	13
RSZYD18187206_A_saliva.metaspades.bin.15	C	16
RSZYD18187206_A_saliva.metaspades.bin.15	Q	6
RSZYD18187206_A_saliva.metaspades.bin.15	D	13
RSZYD18187206_A_saliva.metaspades.bin.15	H	18
RSZYD18187206_A_saliva.metaspades.bin.15	nohit	123
RSZYD18078483_A_saliva.metaspades.bin.13	S	77
RSZYD18078483_A_saliva.metaspades.bin.13	H	18
RSZYD18078483_A_saliva.metaspades.bin.13	I	15
RSZYD18078483_A_saliva.metaspades.bin.13	V	14
RSZYD18078483_A_saliva.metaspades.bin.13	P	32
RSZYD18078483_A_saliva.metaspades.bin.13	L	61
RSZYD18078483_A_saliva.metaspades.bin.13	J	130
RSZYD18078483_A_saliva.metaspades.bin.13	K	24
RSZYD18078483_A_saliva.metaspades.bin.13	E	19
RSZYD18078483_A_saliva.metaspades.bin.13	D	14
RSZYD18078483_A_saliva.metaspades.bin.13	C	15
RSZYD18078483_A_saliva.metaspades.bin.13	F	25
RSZYD18078483_A_saliva.metaspades.bin.13	G	16
RSZYD18078483_A_saliva.metaspades.bin.13	O	19
RSZYD18078483_A_saliva.metaspades.bin.13	M	11
RSZYD18078483_A_saliva.metaspades.bin.13	Q	6
RSZYD18078483_A_saliva.metaspades.bin.13	N	2
RSZYD18078483_A_saliva.metaspades.bin.13	Z	1
RSZYD18078483_A_saliva.metaspades.bin.13	U	8
RSZYD18078483_A_saliva.metaspades.bin.13	T	6
RSZYD18078483_A_saliva.metaspades.bin.13	nohit	123
RSZYD18078535_A_saliva.metaspades.bin.1	M	9
RSZYD18078535_A_saliva.metaspades.bin.1	J	130
RSZYD18078535_A_saliva.metaspades.bin.1	L	62
RSZYD18078535_A_saliva.metaspades.bin.1	F	24
RSZYD18078535_A_saliva.metaspades.bin.1	S	72
RSZYD18078535_A_saliva.metaspades.bin.1	K	23
RSZYD18078535_A_saliva.metaspades.bin.1	E	20
RSZYD18078535_A_saliva.metaspades.bin.1	O	20
RSZYD18078535_A_saliva.metaspades.bin.1	C	15
RSZYD18078535_A_saliva.metaspades.bin.1	H	19
RSZYD18078535_A_saliva.metaspades.bin.1	V	12
RSZYD18078535_A_saliva.metaspades.bin.1	Q	6
RSZYD18078535_A_saliva.metaspades.bin.1	P	31
RSZYD18078535_A_saliva.metaspades.bin.1	G	15
RSZYD18078535_A_saliva.metaspades.bin.1	D	12
RSZYD18078535_A_saliva.metaspades.bin.1	I	14
RSZYD18078535_A_saliva.metaspades.bin.1	T	8
RSZYD18078535_A_saliva.metaspades.bin.1	N	4
RSZYD18078535_A_saliva.metaspades.bin.1	U	8
RSZYD18078535_A_saliva.metaspades.bin.1	Z	1
RSZYD18078535_A_saliva.metaspades.bin.1	nohit	114
RSZYD18078701_A_saliva.metaspades.bin.25	L	60
RSZYD18078701_A_saliva.metaspades.bin.25	P	31
RSZYD18078701_A_saliva.metaspades.bin.25	J	129
RSZYD18078701_A_saliva.metaspades.bin.25	E	20
RSZYD18078701_A_saliva.metaspades.bin.25	S	71
RSZYD18078701_A_saliva.metaspades.bin.25	I	14
RSZYD18078701_A_saliva.metaspades.bin.25	O	20
RSZYD18078701_A_saliva.metaspades.bin.25	F	24
RSZYD18078701_A_saliva.metaspades.bin.25	U	8
RSZYD18078701_A_saliva.metaspades.bin.25	C	15
RSZYD18078701_A_saliva.metaspades.bin.25	H	19
RSZYD18078701_A_saliva.metaspades.bin.25	N	4
RSZYD18078701_A_saliva.metaspades.bin.25	K	23
RSZYD18078701_A_saliva.metaspades.bin.25	Q	6
RSZYD18078701_A_saliva.metaspades.bin.25	Z	3
RSZYD18078701_A_saliva.metaspades.bin.25	G	15
RSZYD18078701_A_saliva.metaspades.bin.25	D	12
RSZYD18078701_A_saliva.metaspades.bin.25	T	6
RSZYD18078701_A_saliva.metaspades.bin.25	V	11
RSZYD18078701_A_saliva.metaspades.bin.25	M	9
RSZYD18078701_A_saliva.metaspades.bin.25	nohit	112
RSZYD18187858_A_saliva.metaspades.bin.9	J	136
RSZYD18187858_A_saliva.metaspades.bin.9	V	9
RSZYD18187858_A_saliva.metaspades.bin.9	L	59
RSZYD18187858_A_saliva.metaspades.bin.9	D	14
RSZYD18187858_A_saliva.metaspades.bin.9	U	9
